Time (s),Filtered Accel X (m/s^2),Position (m)
11.083781957626343,0.1428020956032424,3.9068341661862287
11.18637228012085,0.14264231688872914,3.944358010925729
11.28898549079895,0.14424317112963603,3.983396642510819
11.391583442687988,0.1424703480051221,4.023939055759602
11.494224786758423,0.1422753474774388,4.066003412319138
11.596838235855103,0.14240733305891679,4.109555492616157
11.699466943740845,0.14263828094278178,4.154614125146757
11.802074670791626,0.14280617908684234,4.2011652787279745
11.904686689376831,0.14258162271525077,4.249220953395415
12.007343292236328,0.1426372444183793,4.298800498611826
12.10998272895813,0.14277607332715658,4.34987476050276
12.212565183639526,0.142716681097954,4.402423018715392
12.315182447433472,0.14264928134771285,4.456491681874312
12.417823076248169,0.1427757248232785,4.5120758196820185
12.52048397064209,0.14300032409492106,4.569175792681182
12.623088598251343,0.14302223802201328,4.6277498149992695
12.725723505020142,0.14266957504217492,4.68784649955513
12.828330755233765,0.14314584126983157,4.749431435247948
12.930916786193848,0.14280097736214117,4.812508081924649
13.0335533618927,0.14265844602434802,4.877120272413287
13.136319875717163,0.14248274057367633,4.9433198311543585
13.239038228988647,0.14266650133263603,5.010993010892122
13.341697216033936,0.14239136394414006,5.080129847577909
13.44435167312622,0.14267181347933788,5.150765641643387
13.547008037567139,0.14267100016839973,5.22290551571002
13.649670839309692,0.14261805037748693,5.296553431483162
13.75234317779541,0.14275904116894994,5.37171205370677
13.855005979537964,0.14255544879795976,5.448367487160569
13.95768117904663,0.1425364763644225,5.526535421022892
14.060338735580444,0.14261142425665846,5.606192430790949
14.162976026535034,0.14263251803563037,5.687336049665726
14.265618562698364,0.1426755884637991,5.76998653832122
14.368292808532715,0.14282516308392798,5.85416669507302
14.470988512039185,0.14258274979601837,5.939869546031242
14.573659896850586,0.1426257928740507,6.027056056381854
14.676330327987671,0.1428129779458273,6.1157455932243945
14.781763076782227,0.14264439135030096,6.2083870427628405
14.887812852859497,0.1428496917006247,6.303171300134014
14.993823051452637,0.14235692388975524,6.399523890493109
15.099842309951782,0.14247043380915547,6.4974864542247825
15.205835819244385,0.14241984709015923,6.597025560709736
15.31184720993042,0.14244491718458888,6.698182110606185
15.417867660522461,0.1428161268294387,6.800949338504218
15.523880004882812,0.14248004085072252,6.905311838711741
15.629889488220215,0.14263404046766526,7.011274113154063
15.735324621200562,0.14307193883827862,7.118252999305785
15.841326713562012,0.1426109525790621,7.2274079481574125
15.947308540344238,0.14293544160481916,7.338146214973469
16.053319692611694,0.14269445158578759,7.4505196732813666
16.15929937362671,0.14267791042554226,7.564463340219955
16.265236139297485,0.1426371244529694,7.67996234008645
16.37117862701416,0.1421549555353676,7.797067228835786
16.477128982543945,0.1424821661544848,7.915778783743621
16.583152770996094,0.14267877499667064,8.036173343421627
16.68915820121765,0.14229463625234168,8.158148866763016
16.795133113861084,0.14252454327791583,8.281689295217012
16.901084423065186,0.14275523158128475,8.406802323089353
17.00710129737854,0.14236762309951717,8.533595049198166
17.111623525619507,0.14259414953317004,8.660168391905364
17.217514276504517,0.1424807125132776,8.789986585514127
17.323441743850708,0.1426660020917895,8.921449076074884
17.429490566253662,0.14240733305891679,9.054664482237374
17.535436391830444,0.14271502777759418,9.189351327464648
17.641348123550415,0.14264918914772398,9.325594916278996
17.747384071350098,0.14240412911722333,9.463600745336915
17.85333752632141,0.14224838985430954,9.603098731420985
17.959285259246826,0.14220071438084167,9.744186257367755
18.065186977386475,0.14253458050887596,9.886808728796016
18.17116117477417,0.1425753627763251,10.03112818052039
