t,frame,x_meas,y_meas,major_sigma,minor_sigma,theta,strength_sum,strength_max,bg_std,snr_proxy,xcor_r0_c0,xcor_r0_c1,xcor_r0_c2,xcor_r0_c3,xcor_r0_c4,xcor_r1_c0,xcor_r1_c1,xcor_r1_c2,xcor_r1_c3,xcor_r1_c4,xcor_r2_c0,xcor_r2_c1,xcor_r2_c2,xcor_r2_c3,xcor_r2_c4,xcor_r3_c0,xcor_r3_c1,xcor_r3_c2,xcor_r3_c3,xcor_r3_c4,xcor_r4_c0,xcor_r4_c1,xcor_r4_c2,xcor_r4_c3,xcor_r4_c4,xcor_r5_c0,xcor_r5_c1,xcor_r5_c2,xcor_r5_c3,xcor_r5_c4,xcor_r6_c0,xcor_r6_c1,xcor_r6_c2,xcor_r6_c3,xcor_r6_c4
1772328223.8739655,21,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,-1.2302733934251537,-1.2248291045223598,-1.2206722761001916,-1.184907100785625,-1.2231792477582992,-1.2434525780025214,-1.2398953723782742,-1.1869187577866032,-1.2117572083183776,-1.2300415313293374,-1.2193591856192572,-1.207448984080432,-1.1890824066498769,-1.2053401714968888,-1.2294609820200184,-1.2241764335842649,-1.216631676749191,-1.2292475973662849,-1.2343473713812076,-1.278690848194461,-1.222584989379047,-1.202294373785779,-1.2187214158441324,-1.2402041244750168,-1.1856610996319183,-1.2166173716327395,-1.2462992961763493,-1.2270636829213717,-1.2029440644912799,-1.2091453324729602,-1.2433899931180468,-1.2468673285087737,-1.2200356984181036,-1.2569059439785408,-1.2099398624825313
1772328223.9556086,22,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,-1.2368668600162098,-1.2075711736167878,-1.2159039039497261,-1.181589505861939,-1.2048305517233078,-1.2729413834740373,-1.2506361306471976,-1.2189145349162263,-1.1762030334714697,-1.2255878717408024,-1.2236554889268265,-1.2249191075466999,-1.19761779279921,-1.1762912483562533,-1.1994214295651235,-1.2434865526540935,-1.2248744040577895,-1.227289584552,-1.193009757162304,-1.2478734550325215,-1.216000463485773,-1.2407959986681933,-1.1880792603587227,-1.185337446372205,-1.2231267956646439,-1.2666364033980844,-1.286042485957441,-1.2324209490324196,-1.1882848964077115,-1.2062473542985148,-1.223455217296507,-1.2128098264705929,-1.2374789997910258,-1.2080629119948045,-1.1709554399198827
1772328224.0378354,23,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,-1.2647129612818913,-1.2717916097392568,-1.2212122942462318,-1.1988581656048498,-1.208086157809038,-1.233022359969897,-1.2369455381566925,-1.1891211496735994,-1.2000741005032187,-1.202409410763909,-1.2195213102723732,-1.2163813372112915,-1.1957569355674909,-1.1873836740712735,-1.1940021746161198,-1.2768615814282387,-1.2117053522712413,-1.2429632238105799,-1.249050050860649,-1.1703671420058186,-1.1567743011443983,-1.190850280624662,-1.2168700953567142,-1.2080557594365788,-1.2773783537600456,-1.242288499151289,-1.2984563468046602,-1.1800338244478503,-1.2026871684416733,-1.1903358924789302,-1.2314726390209958,-1.1834324816980937,-1.1256779582116563,-1.186350725454179,-1.218170072814235
1772328224.119082,24,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,-1.2420423319390217,-1.269446166687746,-1.1852522117200155,-1.2276132378117124,-1.2393374728366697,-1.2619532658998087,-1.2169779797766185,-1.2133909718264309,-1.1782599900078767,-1.2276674780449244,-1.242876201018834,-1.2312878646001653,-1.2148870485886394,-1.1998845577102375,-1.202191257738025,-1.2048573738166541,-1.2182016632797317,-1.1842353563589287,-1.2358124537244382,-1.1993510960759042,-1.2180586121152177,-1.1922343006413336,-1.2323494234501624,-1.1774773809286816,-1.2441714101042045,-1.281584654043275,-1.2812127210155386,-1.176105877888903,-1.2242878942832822,-1.175431153229613,-1.2323279657754846,-1.1707003320098317,-1.1704535687510451,-1.1721499171435732,-1.2304802215671808
1772328224.200396,25,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,-1.265475304779446,-1.2242408066082962,-1.2212879921541204,-1.197840714197244,-1.182112238658934,-1.22130825773576,-1.2359698100054035,-1.2079723129239457,-1.17244197993779,-1.218546178167603,-1.243864446147018,-1.1808146453874886,-1.2175752183884645,-1.2514795364713112,-1.202434444717699,-1.234483269987496,-1.2055499798715092,-1.1768193455719174,-1.2188382409618188,-1.220782544706171,-1.2421448519402563,-1.2421138575212778,-1.2136979357836168,-1.1963172192951703,-1.2214012409926942,-1.2625034168366684,-1.2391193198107862,-1.2217481400666403,-1.2469072636255336,-1.1662121017232066,-1.1951179736993285,-1.1809141851561291,-1.2044234519509613,-1.187183402440954,-1.2063176877877346
1772328224.2819874,26,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,-1.2534709278906486,-1.2624497726499762,-1.2380082890997273,-1.2142236488132059,-1.2190814279414925,-1.2327481785712453,-1.18533983055828,-1.1864723189440158,-1.206420803835488,-1.2117113127364296,-1.2493945657485201,-1.255600602102351,-1.1900378692195264,-1.2369443460636547,-1.1775018188359527,-1.240019946100705,-1.216255571395823,-1.2003494739949079,-1.1649645763593415,-1.1799801802611574,-1.2374360844416716,-1.2118382706449355,-1.1573918053378833,-1.2255950242990283,-1.2065954454654988,-1.2667830308417114,-1.214400078582773,-1.2297184741161433,-1.24725416269948,-1.1550231164721398,-1.2053741461484608,-1.225906756628365,-1.1937357418222123,-1.1870671733697864,-1.216566707678641
1772328224.363497,27,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,-1.2431319049754026,-1.2252469331320444,-1.1790724014130123,-1.2132270590337586,-1.2027879003033521,-1.2140752332300226,-1.2012244702845183,-1.2233103779924366,-1.171597382020639,-1.239414362837596,-1.2311638869242532,-1.232849506479443,-1.2244249849826079,-1.208527232232956,-1.164442439608865,-1.2250806361532969,-1.2159456272060427,-1.1731733290163677,-1.1745776146146798,-1.241071372159883,-1.2164117355837507,-1.2099839699249233,-1.2295486008582832,-1.1820174672624433,-1.18582501242459,-1.236182598612618,-1.199336194912934,-1.1664642294006629,-1.19645252185494,-1.253304630911902,-1.2419296791469665,-1.2399817991235014,-1.2379981563089077,-1.189159296650803,-1.2130905643809513
1772328224.4447613,28,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,-1.2206031347040098,-1.2323500194966812,-1.1787523244324123,-1.2054349428933793,-1.1985112665309035,-1.2249453335935274,-1.2175162097831023,-1.2108249915629616,-1.2080128440872244,-1.1881597266387618,-1.1929078332075878,-1.2447924905768022,-1.2077434310607233,-1.2080593357156917,-1.2328250685721713,-1.2057580001065733,-1.21922269096645,-1.1866404040623197,-1.2068630703524437,-1.2514664234478976,-1.253401786494468,-1.2261970312830246,-1.1917538871471751,-1.2425787738059486,-1.2205667758663623,-1.2253768712731445,-1.1882467494305073,-1.2031705621684265,-1.1759073943981408,-1.2262304098880783,-1.292036329750578,-1.2795789575074865,-1.230748442500644,-1.2335582057903056,-1.160244483976899
1772328224.525916,29,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,-1.2138588683436953,-1.2256212503458555,-1.1816878535375421,-1.191629909471263,-1.2164540548865865,-1.2135638253168852,-1.243560462422426,-1.1980928418747,-1.205802107548965,-1.2443973117348324,-1.2326838055472142,-1.2037338261287007,-1.1909307469047006,-1.1889733301369347,-1.216025497439563,-1.235433964184995,-1.2105895531880324,-1.1939586632202466,-1.2150706309164323,-1.2262202770972583,-1.243882327542582,-1.2576533863131263,-1.2384213493372616,-1.186580799410439,-1.2394310521401226,-1.1961622472002804,-1.2204404140043752,-1.1890144573467327,-1.2032003644943674,-1.2142224567201685,-1.2862940175883781,-1.2590046237712649,-1.2003321886458629,-1.2558574981519572,-1.2191946767800657
1772328224.6070201,30,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,-1.1934842101912753,-1.180936238877325,-1.1403931546679926,-1.1825741747110103,-1.2126077667007173,-1.2161327858129485,-1.2423230698493801,-1.2305547273820312,-1.235927490702568,-1.2129785076354156,-1.2328572550841872,-1.2480695543372098,-1.2055619008018854,-1.1998291253839883,-1.226808575011322,-1.254431158832449,-1.2574197360777535,-1.1929549208825734,-1.223955300325787,-1.2032259944946762,-1.2298263585360476,-1.2598122668042495,-1.2168039341931265,-1.2334968129988684,-1.2103714001621486,-1.1895121561899376,-1.1937345497291747,-1.2217391993688584,-1.1774922820916518,-1.2088061820037586,-1.2437345080059174,-1.2143553750938625,-1.2266243966370098,-1.2167538662855466,-1.1853088361393016
